Date,Time,Open,High,Low,Close,Volume
2023/8/29,10:56:00,549,550,549,550,3
2023/8/29,10:57:00,549,550,549,549,4
2023/8/29,10:58:00,549,549,549,549,1
2023/8/29,10:59:00,549,549,549,549,5
2023/8/29,11:00:00,550,550,549,550,3
2023/8/29,11:01:00,550,550,550,550,0
2023/8/29,11:02:00,550,550,549,550,5
2023/8/29,11:03:00,550,550,549,549,4
2023/8/29,11:04:00,549,550,549,549,7
2023/8/29,11:05:00,550,550,549,549,2
2023/8/29,11:06:00,550,550,550,550,4
2023/8/29,11:07:00,550,550,550,550,0
2023/8/29,11:08:00,550,550,549,549,3
2023/8/29,11:09:00,550,550,549,550,13
2023/8/29,11:10:00,550,550,549,550,11
2023/8/29,11:11:00,549,549,549,549,1
2023/8/29,11:12:00,550,550,549,550,3
2023/8/29,11:13:00,550,550,549,549,2
2023/8/29,11:14:00,549,550,549,550,9
2023/8/29,11:15:00,549,550,549,549,5
2023/8/29,11:16:00,550,550,549,550,5
2023/8/29,11:17:00,549,549,549,549,1
2023/8/29,11:18:00,550,550,549,550,8
2023/8/29,11:19:00,550,550,549,549,7
2023/8/29,11:20:00,549,550,549,549,8
2023/8/29,11:21:00,549,550,549,550,6
2023/8/29,11:22:00,550,550,549,549,40
2023/8/29,11:23:00,549,549,549,549,2
2023/8/29,11:24:00,549,550,549,550,6
2023/8/29,11:25:00,550,550,549,549,9
2023/8/29,11:26:00,550,550,549,549,8
2023/8/29,11:27:00,549,550,549,549,221
2023/8/29,11:28:00,549,550,549,550,12
2023/8/29,11:29:00,549,550,549,550,7
2023/8/29,11:30:00,550,550,549,549,6
2023/8/29,11:31:00,550,550,549,549,6
2023/8/29,11:32:00,549,549,549,549,0
2023/8/29,11:33:00,549,550,549,550,4
2023/8/29,11:34:00,549,550,549,550,29
2023/8/29,11:35:00,550,550,549,550,9
2023/8/29,11:36:00,550,550,549,549,5
2023/8/29,11:37:00,550,550,549,550,11
2023/8/29,11:38:00,550,550,549,549,4
2023/8/29,11:39:00,549,549,549,549,2
2023/8/29,11:40:00,549,550,549,549,14
2023/8/29,11:41:00,549,550,549,549,13
2023/8/29,11:42:00,550,550,549,550,6
2023/8/29,11:43:00,549,549,549,549,4
2023/8/29,11:44:00,549,550,549,549,9
2023/8/29,11:45:00,550,550,549,549,5
2023/8/29,11:46:00,550,550,549,549,5
2023/8/29,11:47:00,550,550,549,549,12
2023/8/29,11:48:00,549,549,549,549,2
2023/8/29,11:49:00,549,550,549,549,11
2023/8/29,11:50:00,550,550,549,550,14
2023/8/29,11:51:00,550,550,550,550,0
2023/8/29,11:52:00,549,549,549,549,4
2023/8/29,11:53:00,549,550,549,549,10
2023/8/29,11:54:00,549,550,549,549,9
2023/8/29,11:55:00,549,550,549,549,17
2023/8/29,11:56:00,549,550,549,550,16
2023/8/29,11:57:00,549,550,549,549,7
2023/8/29,11:58:00,550,550,549,549,8
2023/8/29,11:59:00,549,549,549,549,30
2023/8/29,12:00:00,549,550,549,549,7
2023/8/29,12:01:00,549,550,549,549,14
2023/8/29,12:02:00,550,550,549,549,9
2023/8/29,12:03:00,549,550,549,549,9
2023/8/29,12:04:00,550,550,549,550,7
2023/8/29,12:05:00,549,550,549,549,9
2023/8/29,12:06:00,549,550,549,550,12
2023/8/29,12:07:00,549,549,549,549,11
2023/8/29,12:08:00,549,550,549,549,7
2023/8/29,12:09:00,549,549,549,549,6
2023/8/29,12:10:00,549,550,549,550,19
2023/8/29,12:11:00,549,549,549,549,5
2023/8/29,12:12:00,549,550,549,550,7
2023/8/29,12:13:00,550,550,549,549,5
2023/8/29,12:14:00,549,549,549,549,10
2023/8/29,12:15:00,550,550,549,549,6
2023/8/29,12:16:00,549,550,549,549,15
2023/8/29,12:17:00,549,550,549,549,22
2023/8/29,12:18:00,549,549,549,549,5
2023/8/29,12:19:00,549,550,549,549,7
2023/8/29,12:20:00,549,550,549,549,10
2023/8/29,12:21:00,550,550,549,549,7
2023/8/29,12:22:00,549,550,549,549,4
2023/8/29,12:23:00,549,550,549,550,9
2023/8/29,12:24:00,549,550,549,549,12
2023/8/29,12:25:00,549,550,549,550,18
2023/8/29,12:26:00,549,550,549,549,18
2023/8/29,12:27:00,549,550,549,550,10
2023/8/29,12:28:00,549,550,549,549,14
2023/8/29,12:29:00,549,550,549,550,17
2023/8/29,12:30:00,549,550,549,549,13
2023/8/29,12:31:00,550,550,549,550,9
2023/8/29,12:32:00,549,550,549,549,11
2023/8/29,12:33:00,549,550,549,550,24
2023/8/29,12:34:00,549,550,549,549,16
2023/8/29,12:35:00,550,550,549,549,2
